ng,beta4_ps4_per_mm,relative_uncertainty,beta4_SI_s4_per_m,beta4_sigma_SI,beta4_pred_SI,residual_log10,relative_residual
4.0,1e-05,0.2,1e-50,2e-51,1.2232551441007437e-50,-0.08751705075518856,-0.22325514410074374
25.0,10.0,0.2,1e-44,2e-45,6.263133964255952e-45,0.20320829893019265,0.3736866035744048
100.0,100000.0,0.2,1e-40,2e-41,1.3052426255267521e-40,-0.11569124817496856,-0.3052426255267522
