C,H_turn_abs,Q,R_abs,R_im,R_re,Res_abs,Res_im,Res_re,action_im,action_n_used,action_re,case,f_im,f_lr,f_re,first_seed_label,max_abs_p,omega_im,omega_re,optimizer,optimizer_fun,r_minus_real,r_sp,r_turn_im,r_turn_re,status
0.0,,,,,,,,,,,,C_ZERO,,,,,,,,,,,,,,NO_LIGHT_RING
0.0003845,,,,,,,,,,,,C_HALF,,,,,,,,,,,,,,NO_VALID_START
0.000769,4.547473644389911e-13,7289.610441126669,0.99735370809649,-0.9957966544721145,0.05570854508926637,2.1019324084568423e-05,-1.2778065772212077e-05,1.6689308556472326e-05,-0.0013332443871740282,20000,0.7574490530472051,BASELINE,-0.0005697566450636659,8.835443157444212,8.306607977514801,analytic +,154.70367695607024,-0.0035798865809319605,52.19195719682174,Nelder-Mead,-4.6773812536294646,0.0302653933597833,0.020087461380721258,7.871274192932609e-06,0.03026539367208617,OK
0.001538,,,,,,,,,,,,C_DOUBLE,,,,,,,,,,,,,,NO_VALID_START
