case,C,light_ring,r_sp_m,r_sp_mm,omega_lr,f_lr_hz,valid_radial_points,status,error
C_ZERO,0.0,False,,,,,0,NO_LIGHT_RING,
C_HALF,0.0003845,True,0.009873054390127308,9.873054390127308,77.59835013143118,12.350160999192898,7,PASS,
BASELINE,0.000769,True,0.020087461380721258,20.08746138072126,55.51472662927388,8.835443157444212,7,PASS,
C_DOUBLE,0.001538,True,0.03436314164907322,34.36314164907322,42.50240738719307,6.764468228977265,6,PASS,
