case,C_requested,C_methods_module,C_table_module,light_ring,r_sp_m,f_lr_hz,omega_lr_rad_s,call_ok,error_type,error
C_ZERO,0.0,0.000769,0.000769,False,,,,True,,
C_HALF,0.0003845,0.000769,0.000769,True,0.009873054390127308,12.350160999192898,77.59835013143118,True,,
BASELINE,0.000769,0.000769,0.000769,True,0.020087461380721258,8.835443157444212,55.51472662927388,True,,
C_DOUBLE,0.001538,0.000769,0.000769,True,0.03436314164907322,6.764468228977265,42.50240738719307,True,,
