m,f_re,f_im,abs_res,success,sigma_min_1e-4,sigma_min_1e-5,sigma_min_1e-6,jac_reliable
-14.0,9.596712867697871,-0.13583831664187473,9.09587098209757e-15,True,9.962212701537792,9.969422124393192,9.970143288882303,True
-14.01,9.599245548550966,-0.13567376880984441,1.0423244182058541e-14,True,9.966508323101099,9.973724257534636,9.974446070401266,True
-14.02,9.601777804502646,-0.13550926843226038,4.46476710438357e-15,True,9.970801722484367,9.97802416843556,9.978746630319144,True
-14.03,9.604309636500542,-0.13534481542267648,1.1866928732135989e-15,True,9.975092893978209,9.98232184865903,9.983044964101573,True
-14.04,9.606841045486188,-0.1351804096587822,5.1434009872946005e-15,True,9.979381831891441,9.986617295075547,9.987341068254313,True
-14.049999999999999,9.609372032401026,-0.1350160510277583,1.0127400635423466e-14,True,9.983668530522923,9.9909104995977,9.991634916631597,True
-14.059999999999999,9.611902598190659,-0.13485173945726306,7.214100729072864e-15,True,9.987952984120692,9.995201458545472,9.995926527530752,True
-14.069999999999999,9.614432743785262,-0.13468747477137671,7.073479992989651e-15,True,9.992235186838526,9.999490164866181,10.000215886648624,True
-14.079999999999998,9.616962470133844,-0.13452325694203848,6.35063097490511e-15,True,9.99651513285621,10.003776612380525,10.004502982806425,True
-14.089999999999998,9.619491778168932,-0.13435908583020933,1.0778315928076987e-15,True,10.00079281644156,10.008060796309062,10.008787815842446,True
-14.099999999999998,9.622020668828279,-0.13419496134463932,1.2705264429312778e-14,True,10.00506823165929,10.012342711529579,10.013070383703067,True
-14.109999999999998,9.62454914304328,-0.13403088335804686,7.720840863447045e-15,True,10.009341372553614,10.016622349971648,10.017350671696478,True
-14.119999999999997,9.62707720175238,-0.1338668518030079,1.2499750519123837e-14,True,10.013612233177074,10.02089970631043,10.021628681499992,True
-14.129999999999997,9.629604845884314,-0.1337028665523502,9.582871241767491e-15,True,10.01788080765714,10.025174775008898,10.025904393801998,True
-14.139999999999997,9.632132076374916,-0.13353892753849517,1.1368271767870483e-14,True,10.022147089956334,10.029447550037407,10.03017782859635,True
-14.149999999999997,9.634658894152208,-0.13337503464799205,9.636742249038158e-15,True,10.026411073985335,10.03371802461683,10.034448945617434,True
-14.159999999999997,9.637185300142454,-0.13321118776475893,1.7098876366520038e-14,True,10.030672753736495,10.037986193477945,10.038717762817614,True
-14.169999999999996,9.639711295279874,-0.1330473868369403,8.246349205580614e-15,True,10.034932123050053,10.042252050868182,10.042984267605684,True
-14.179999999999996,9.642236880486085,-0.1328836317345401,5.442641205208294e-15,True,10.03918917588558,10.04651558848378,10.047248454196836,True
-14.189999999999996,9.644762056688176,-0.13271992237452285,7.950313203316809e-15,True,10.043443906092275,10.050776803918687,10.051510325761933,True
-14.199999999999996,9.647286824808008,-0.13255625864717324,7.839660476403649e-15,True,10.047696307266019,10.055035686706788,10.055769852130437,True
-14.209999999999996,9.649811185774984,-0.13239264050269026,4.6271133556207615e-15,True,10.051946373486391,10.059292234062156,10.060027043656904,True
-14.219999999999995,9.652335140506084,-0.13222906781610197,2.710399819191012e-15,True,10.05619409835312,10.063546437336536,10.064281900587297,True
-14.229999999999995,9.65485868992339,-0.13206554050580413,2.1210781103223385e-15,True,10.060439475553098,10.067798291623745,10.068534400411842,True
-14.239999999999995,9.657381834948538,-0.13190205849573503,6.5653524581199634e-15,True,10.064682498850651,10.072047789894153,10.072784548273479,True
-14.249999999999995,9.659904576491922,-0.13173862164433772,1.458496737992593e-14,True,10.068923161773782,10.07629492587936,10.077032329657387,True
-14.259999999999994,9.662426915481353,-0.1315752299335305,5.731375151869636e-15,True,10.073161458119671,10.080539693586717,10.081277750712196,True
-14.269999999999994,9.664948852826882,-0.13141188323684083,2.6113852161422537e-15,True,10.077397381352032,10.084782086207454,10.085520791102454,True
-14.279999999999994,9.667470389450804,-0.13124858151619803,1.6787511977365987e-14,True,10.08163092499819,10.08902209694519,10.089761445180445,True
-14.289999999999994,9.669991526255965,-0.13108532461599126,7.267510082199786e-15,True,10.085862082670738,10.09325972075917,10.093999721405732,True
-14.299999999999994,9.672512264161549,-0.13092211249484464,8.948838350958004e-15,True,10.090090847845723,10.097494948924668,10.098235585302623,True
-14.309999999999993,9.675032604073495,-0.13075894503464314,2.2121037052315357e-15,True,10.094317213956678,10.101727776781965,10.102469068741549,True
-14.319999999999993,9.677552546916074,-0.1305958222419942,8.361571575554633e-15,True,10.098541174491281,10.105958196032644,10.10670012847848,True
-14.329999999999993,9.680072093581694,-0.13043274392966916,4.7207330545682824e-15,True,10.102762722777987,10.110186201985906,10.110928783600793,True
-14.339999999999993,9.682591244989982,-0.13026971009089092,7.464134339039856e-15,True,10.10698185221426,10.114411786261943,10.11515501480858,True
-14.349999999999993,9.685110002039936,-0.13010672059721196,8.995547373193812e-15,True,10.111198556079719,10.118634942799337,10.119378812306614,True
-14.359999999999992,9.687628365640686,-0.1299437753918557,1.2224684831140492e-14,True,10.115412827787123,10.1228556661262,10.123600184565928,True
-14.369999999999992,9.690146336698126,-0.1297808744056972,8.865289006600649e-15,True,10.119624660466354,10.127073947237413,10.127819113510673,True
-14.379999999999992,9.692663916112837,-0.12961801754487787,4.220308060520364e-15,True,10.123834047394508,10.131289781077198,10.13203558925907,True
-14.389999999999992,9.695181104793418,-0.1294552047725358,8.931777008433754e-15,True,10.128040981940305,10.135503159328529,10.136249611627631,True
-14.399999999999991,9.697697903629928,-0.1292924359466489,5.9562715115723526e-15,True,10.132245457026057,10.139714076981418,10.140461170070333,True
-14.409999999999991,9.700214313535323,-0.12912971107221663,1.3992774630722241e-14,True,10.136447466014396,10.143922525210897,10.144670263877265,True
-14.419999999999991,9.702730335396065,-0.12896703000169074,1.1022563465713405e-14,True,10.140647001783284,10.14812849864194,10.148876883175559,True
-14.42999999999999,9.705245970117335,-0.12880439270825306,2.434909185329438e-15,True,10.144844057613623,10.152331990140864,10.153081020975094,True
-14.43999999999999,9.707761218593953,-0.1286417991103909,8.67182973659664e-15,True,10.149038626417918,10.156532991359406,10.15728266469706,True
-14.44999999999999,9.710276081720888,-0.1284792491353062,2.2650998591337196e-15,True,10.153230701266367,10.160731497126088,10.161481810483425,True
-14.45999999999999,9.712790560393126,-0.12831674271787802,3.9224825225513435e-15,True,10.157420275127166,10.164927498483863,10.16567845702989,True
-14.46999999999999,9.715304655505106,-0.12815427979722807,9.469004897397436e-15,True,10.161607340904082,10.169120989547176,10.169872588906108,True
-14.47999999999999,9.717818367947075,-0.12799186029542345,1.276032214398502e-14,True,10.16579189156707,10.173311964199357,10.17406420547654,True
-14.48999999999999,9.720331698608506,-0.1278294841377403,3.1106063782808446e-15,True,10.169973919949799,10.177500413399331,10.17825329484809,True
-14.49999999999999,9.72284464838195,-0.1276671512746223,7.659130848998449e-15,True,10.174153418997523,10.181686330252381,10.182439854716897,True
-14.50999999999999,9.725357218154237,-0.12750486163085797,5.347542221830668e-15,True,10.178330381418421,10.185869708787957,10.186623879366937,True
-14.519999999999989,9.727869408814508,-0.12734261515181625,3.0287934084557967e-15,True,10.18250479997355,10.190050540260884,10.190805352573353,True
-14.529999999999989,9.730381221248011,-0.12718041176792974,2.0009055870760584e-14,True,10.186676667476473,10.194228818934944,10.194984273607897,True
-14.539999999999988,9.732892656342502,-0.12701825143106063,2.929495491068304e-15,True,10.190845976712387,10.19840453574716,10.199160633193399,True
-14.549999999999988,9.735403714974614,-0.12685613403768312,5.558049685633555e-15,True,10.19501272014971,10.202577684679168,10.203334422412356,True
-14.559999999999988,9.73791439803466,-0.12669405956839208,2.0471501066083613e-15,True,10.199176890603294,10.206748257970936,10.207505634034474,True
-14.569999999999988,9.740424706405003,-0.12653202796602403,7.28550816809042e-15,True,10.203338480708833,10.210916247705622,10.211674261092892,True
-14.579999999999988,9.742934640961398,-0.12637003914389883,2.9893669801409084e-15,True,10.207497482940926,10.215081647432038,10.215840307569533,True
-14.589999999999987,9.74544420258868,-0.12620809307273356,2.886579864025407e-15,True,10.21165388988698,10.21924444924375,10.220003748826313,True
-14.599999999999987,9.747953392162257,-0.1260461896781733,3.887762621811037e-15,True,10.215807694163638,10.223404644825534,10.224164580390308,True
-14.609999999999987,9.750462210560181,-0.12588432890744064,4.0412728104402654e-15,True,10.219958888097894,10.227562228567935,10.228322804610015,True
-14.619999999999987,9.75297065865736,-0.1257225106975736,1.3420387677830782e-14,True,10.224107464352874,10.231717191141488,10.232478409583155,True
-14.629999999999987,9.755478737331128,-0.12556073500565929,5.0009355010672645e-15,True,10.228253415068169,10.235869525239192,10.236631379922313,True
-14.639999999999986,9.757986447456082,-0.1253990017806787,1.6323299197467428e-14,True,10.232396732806546,10.240019223590364,10.240781714771067,True
-14.649999999999986,9.760493789903196,-0.12523731095905272,1.167701839403815e-14,True,10.236537409920528,10.24416627819439,10.24492941257575,True
-14.659999999999986,9.763000765544165,-0.12507566248788773,1.0438458340849585e-14,True,10.240675438636966,10.248310681516248,10.249074451240682,True
-14.669999999999986,9.765507375254092,-0.12491405633902096,9.110765053448275e-15,True,10.244810811312616,10.252452425149848,10.253216826417082,True
-14.679999999999986,9.768013619900685,-0.1247524924516496,6.325592503836238e-15,True,10.248943520278946,10.25659150377887,10.257356546057228,True
-14.689999999999985,9.770519500348145,-0.12459097075343402,4.125789526923561e-15,True,10.25307355755553,10.260727906246764,10.261493583938666,True
-14.699999999999985,9.7730250174732,-0.12442949124420268,1.767182481642117e-14,True,10.257200915546274,10.264861627159751,10.265627943202135,True
-14.709999999999985,9.775530172132864,-0.1242680538273863,1.5553031891404223e-15,True,10.26132558623648,10.268992657838433,10.269759607994962,True
-14.719999999999985,9.778034965196609,-0.12410665847795606,3.420135685938544e-15,True,10.265447561815767,10.273120990254187,10.27388857660428,True
-14.729999999999984,9.78053939752853,-0.12394530514942938,6.8519741543802015e-15,True,10.269566834334936,10.277246615523355,10.278014839182832,True
-14.739999999999984,9.783043469989648,-0.1237839937860223,1.042206157031943e-14,True,10.273683395899049,10.281369528150588,10.282138385293146,True
-14.749999999999984,9.785547183450724,-0.12362272438802502,1.009997900029461e-14,True,10.277797238548901,10.285489717674148,10.286259213478571,True
-14.759999999999984,9.788050538760936,-0.12346149685216226,7.216449660063518e-16,True,10.281908354122471,10.289607177247467,10.290377304574992,True
-14.769999999999984,9.790553536783877,-0.12330031115512015,5.375130756895088e-15,True,10.286016734689236,10.293721898815038,10.294492663359726,True
-14.779999999999983,9.793056178385887,-0.12313916729323264,1.55130577703719e-14,True,10.290122372211838,10.297833873104167,10.298605269651,True
-14.789999999999983,9.795558464418706,-0.1229780651956749,7.947987303456223e-15,True,10.294225258498537,10.301943093974257,10.302715124728563,True
-14.799999999999983,9.798060395735325,-0.12281700480455073,1.0206959624866795e-14,True,10.298325385369127,10.306049551751121,10.30682221401059,True
-14.809999999999983,9.80056197319972,-0.12265598612273872,3.204296758965566e-15,True,10.302422744723744,10.310153238782718,10.310926531494772,True
-14.819999999999983,9.803063197657837,-0.12249500906988635,1.4699453470135983e-14,True,10.306517328298446,10.314254146659403,10.31502807546609,True
-14.829999999999982,9.805564069966962,-0.12233407362800441,1.634103474132873e-14,True,10.310609127793272,10.31835226608272,10.319126826153378,True
-14.839999999999982,9.808064590986667,-0.12217317979594915,1.2576920825403051e-14,True,10.314698135069431,10.322447591032581,10.32322278501872,True
-14.849999999999982,9.810564761557783,-0.12201232748716864,1.5259913497390425e-14,True,10.318784341670202,10.326540111425977,10.327315939276069,True
-14.859999999999982,9.813064582533661,-0.12185151668243989,1.6890812835436534e-14,True,10.322867739340383,10.330629819231877,10.331406275411114,True
