m,f_re_Hz,f_im_Hz,abs_res
-14.905,9.824309000,-0.170000000,0.000e+00
-14.91,9.825558473,-0.121048084,1.835e-15
-14.915,9.826807387,-0.120967798,4.564e-15
-14.92,9.828056214,-0.120887522,5.590e-15
-14.925,9.829304956,-0.120807256,5.831e-11
-14.93,9.830553612,-0.120727001,1.839e-12
-14.935,9.831802182,-0.120646756,4.529e-13
-14.94,9.833050667,-0.120566521,1.157e-14
-14.945,9.834299066,-0.120486296,1.774e-13
-14.95,9.835547379,-0.120406082,3.891e-15
