m,q,f_model_hz,f_model_im_hz,abs_res,root_success,root_nfev,root_message,seed_f_hz,real_axis_abs_res,light_ring_hz,experimental_hz,delta_hz,relative_error_percent
-10,2,8.537924932675796,-0.20785453367759593,1.7763568394002505e-15,True,7,The solution converged.,8.525689915209513,0.11929243182105013,8.241791610124768,8.533427811,0.004497121675797189,0.05270006116416878
-9,1,7.407188261234489,-0.0013648833751257348,3.908020529499657e-16,True,14,The solution converged.,7.407165241618766,0.006074387001249392,7.926750182823638,7.406262072,0.000926189234489172,0.012505488267701311
-9,2,8.253626453701822,-0.2294975830785021,3.8730715395979075e-15,True,11,The solution converged.,8.338450103999525,0.8381806989348121,7.926750182823638,8.246009901,0.007616552701820822,0.09236652384927596
-8,1,7.073684490638275,-0.0018395279308414353,2.2508129017558575e-15,True,14,The solution converged.,7.073659816196912,0.007911497164135304,7.5949614697275525,7.076173999,-0.0024895083617249014,-0.0351815594426694
-8,2,7.958391738611146,-0.254078069765515,1.1102230246251565e-16,True,11,The solution converged.,8.054240932183578,0.848655515161753,7.5949614697275525,7.945602232,0.012789506611146528,0.16096333843189709
-7,1,6.717077707039626,-0.00252778906101005,8.326672684688674e-17,True,9,The solution converged.,6.717050482482466,0.010446446968840945,7.241594397049724,6.714687044,0.0023906630396259843,0.03560349162902825
-7,2,7.650392494391533,-0.2829865725062155,1.3788683915077173e-15,True,13,The solution converged.,7.642441854676842,0.44606759732158585,7.241594397049724,7.633791333,0.01660116139153356,0.21746941548911158
-6,1,6.331637173369982,-0.0035890251133597327,1.1986424564952127e-15,True,13,The solution converged.,6.331605506825178,0.014152749828711213,6.859961194832402,6.333524665,-0.001887491630017557,-0.029801599107178296
-6,2,7.327835886302166,-0.3183022180692262,8.005932084973442e-16,True,12,The solution converged.,7.448673051525227,0.8653901538434886,6.859961194832402,7.298338,0.029497886302165988,0.40417265276239583
-5,1,5.9092127403581705,-0.00535550473307625,5.594315114139762e-16,True,21,The solution converged.,5.909172600826665,0.01996354064299496,6.440279589841572,5.91099973,-0.0017869896418298836,-0.03023159741930632
-5,2,6.989518102570768,-0.3631414341338379,1.8209011484034673e-15,True,11,The solution converged.,7.124527248594711,0.8722357965713339,6.440279589841572,6.948591527,0.04092657557076862,0.5889909546667272
-4,1,5.437400561301154,-0.008592539377935124,5.551115123125783e-17,True,14,The solution converged.,5.437341372264291,0.029846361274339636,5.967170689323594,5.437524431,-0.0001238696988457022,-0.0022780531916234844
-4,2,6.636443687771222,-0.4219711085768068,9.50197851991224e-16,True,12,The solution converged.,6.660391028306645,0.2980270276314044,5.967170689323594,6.57003913,0.06640455777122245,1.0107178428817434
