m,q,f_model_hz,f_model_im_hz,abs_res,root_success,root_nfev,root_message,seed_f_hz,real_axis_abs_res,light_ring_hz,experimental_hz,delta_hz,relative_error_percent
-21,1,10.53418645660406,-8.419558764276453e-06,6.6630952270373846e-15,True,7,The solution converged.,10.534167518957126,4.2780389275180585e-05,11.298257843498567,10.53127805,0.002908406604060332,0.02761684375108045
-20,1,10.305550274295342,-1.668923893633753e-05,2.314388982286638e-15,True,7,The solution converged.,10.305531400393061,8.505024089543603e-05,11.022386919577947,10.30228351,0.003266764295341673,0.031709128293458046
-19,1,10.073878266193283,-3.081465169549214e-05,7.243420912108399e-16,True,7,The solution converged.,10.073859436034892,0.00015720118559891394,10.749965551743404,10.07028344,0.00359482619328233,0.03569736854678174
-19,2,10.826904074374342,-0.059426966203060407,6.453290708349386e-15,True,9,The solution converged.,10.83305226569983,0.48869523189334285,10.749965551743404,10.83337372,-0.006469645625658771,-0.05971958314070578
-18,1,9.838593218240396,-5.3407359241478814e-05,1.195122502091808e-15,True,7,The solution converged.,9.838574289618679,0.00027218507981526473,10.479789718476436,9.840683264,-0.0020900457596049193,-0.021238827666071696
-18,2,10.584744512815286,-0.0735655580125855,5.637662342339569e-15,True,8,The solution converged.,10.595065995513778,0.5574898971376459,10.479789718476436,10.58962136,-0.0048768471847147055,-0.04605308366487907
-17,1,9.599041050176925,-8.75270002045621e-05,2.4424906541753444e-15,True,9,The solution converged.,9.599022091391825,0.0004446286867697487,10.210660796999214,9.600492823,-0.0014517728230742932,-0.015121857282120623
-17,2,10.341301888928173,-0.08840985723897524,7.551353110100022e-15,True,9,The solution converged.,10.356983269487404,0.6166306411516538,10.210660796999214,10.34296042,-0.0016585310718273405,-0.016035361293854206
-16,1,9.3544754563903,-0.00013658603213099666,6.591949208711867e-16,True,7,The solution converged.,9.354456456336257,0.0006899222809222011,9.941359393542882,9.355011082,-0.0005356256097002188,-0.005725547570230219
-16,2,10.095960431533854,-0.10378865446508603,1.0778315928076987e-15,True,12,The solution converged.,10.108308546085256,0.13086331490594585,9.941359393542882,10.09843672,-0.00247628846614667,-0.024521503028705118
-16,3,11.078568862347833,-1.3355680907871905,9.35593479949491e-16,True,11,The solution converged.,11.043901766424238,0.7875749131136105,9.941359393542882,10.50612174,0.5724471223478336,5.448700638679575
-15,1,9.104038136302805,-0.00020431786949353411,7.054845468741831e-16,True,11,The solution converged.,9.104018932408703,0.0010235218043761912,9.670615315278155,9.103267196,0.0007709403028055561,0.008468830873648414
-14,1,8.846733041951687,-0.0002949046171093464,1.1857187100668868e-16,True,9,The solution converged.,8.846713549462983,0.0014609489663205942,9.39707168292226,8.844144355,0.002588686951687791,0.029270066699265122
-14,2,9.399550955175973,-0.3086180376787981,1.3676290564149478e-14,True,6,The solution converged.,9.44707168292226,0.8981203009990131,9.39707168292226,9.599296405,-0.19974544982402698,-2.0808342757286384
-14,3,9.596712867697871,-0.13583831664187462,8.779189918803538e-15,True,9,The solution converged.,9.634162513979364,0.741629448046579,9.39707168292226,10.01552194,-0.41880907230212827,-4.181600068484582
-14,4,10.649226336244075,-1.481607085096753,2.4650951625709315e-15,True,10,The solution converged.,10.850461513430734,0.9063379132839634,9.39707168292226,10.3128259,0.3364004362440749,3.2619617504070817
-13,1,8.581392352340073,-0.0004133772136337707,4.815297407295244e-15,True,15,The solution converged.,8.581372479304322,0.0020189719985812603,9.11924021211553,8.582278857,-0.0008865046599275672,-0.010329478623320468
-13,2,9.12188681767184,-0.31733519724228215,1.9137766262657734e-15,True,6,The solution converged.,9.16924021211553,0.8792265577840581,9.11924021211553,9.342201757,-0.22031493932816026,-2.358276400561366
-13,3,9.34113131715088,-0.1525558119108956,5.23691153334427e-16,True,8,The solution converged.,9.387188563627504,0.769389139078288,9.11924021211553,9.76372149,-0.4225901728491195,-4.328167013796288
-12,1,8.306630716861262,-0.0005664350078682928,2.2215299868541707e-16,True,14,The solution converged.,8.306610422484408,0.0027184759453281345,8.835443157444212,8.304259799,0.0023709178612616455,0.02855062243533315
-12,2,8.837878345936394,-0.32801295365544253,6.11243316043841e-14,True,6,The solution converged.,8.885443157444213,0.85457691427191,8.835443157444212,9.082091798,-0.24421345206360634,-2.6889559970907304
-12,3,9.080269181515511,-0.16991931874681288,5.165818938893381e-15,True,15,The solution converged.,9.13539208930777,0.7920369700654883,8.835443157444212,9.515540164,-0.43527098248448937,-4.574317116869976
-11,1,8.020782378186668,-0.0007639220628846078,3.761904547480152e-15,True,12,The solution converged.,8.02076137607477,0.003589703490876507,8.54373487739521,8.020133041,0.0006493371866689301,0.00809633934187165
-11,2,8.545584309445056,-0.34109901398035825,2.357759349791958e-13,True,6,The solution converged.,8.59373487739521,0.8251179293067329,8.54373487739521,8.811238183,-0.2656538735549443,-3.014943734780484
-11,3,8.81297273777321,-0.18820841648806327,8.95090418262362e-16,True,7,The solution converged.,8.827633182479955,0.16016357367391515,8.54373487739521,9.257350105,-0.44437736722679055,-4.800265326324617
-10,1,7.721812502880395,-0.0010214156684751285,1.603169832171491e-15,True,11,The solution converged.,7.721790653586612,0.004681103622022301,8.241791610124768,7.721731873,8.062988039458929e-05,0.001044194252283244
