m,snr,n_converged,n_trials,success_rate,f_R_bias,f_R_std,tau_bias,tau_std
-14.0,30,30,30,0.8666666666666667,-0.0024310286466064923,0.007941764590252328,-0.009996403059221892,0.06843253204753896
-14.0,20,30,30,0.7333333333333333,-9.526266426362895e-05,0.013489402943949737,0.022118530178701024,0.1211218541187886
-14.0,10,30,30,0.43333333333333335,0.00417240171019273,0.02558795443490056,0.03909867399591338,0.2932132928595329
-14.0,7,30,30,0.3,0.0023763495377533417,0.031291507365183595,0.14509045629501527,0.5490054269360773
-14.49999999999999,30,30,30,0.8333333333333334,-0.000779780516795725,0.008540470169500568,-0.005374146525145118,0.09256155992822324
-14.49999999999999,20,30,30,0.5666666666666667,-0.0010748174904779972,0.012922580540611305,0.05169195489693723,0.12031163610369244
-14.49999999999999,10,30,30,0.4,0.0019924653915932566,0.02921326362835455,-0.010571117392947027,0.23913676144596258
-14.49999999999999,7,30,30,0.2,-0.006668307813503915,0.05169535684772637,0.25370619387938076,0.7070934518822293
-14.905000000000074,30,30,30,0.9,0.0005005761220004956,0.008276619250436058,0.02006193272467316,0.0817836325389606
-14.905000000000074,20,30,30,0.5666666666666667,0.00038752156042676233,0.0099884612055293,0.023142991211658526,0.15122825059478054
-14.905000000000074,10,30,30,0.3333333333333333,-0.00958839992533278,0.027178164711800314,0.022135136500708752,0.28699088691371366
-14.905000000000074,7,30,30,0.26666666666666666,0.010121938985786727,0.050236672467616664,0.20160276317550951,0.4810290064590874
