m,f_re,f_im,f_R_hz,tau_s,Q,abs_res
-14.0,9.399550955175973,-0.3086180376787981,9.399550955175973,0.51570201239352,15.228453634584364,1.3633611069437947e-14
-14.01,9.402301361505973,-0.30853948889382354,9.402301361505973,0.515833301152141,15.236787672163334,2.4812196136955653e-14
-14.02,9.405051302585072,-0.30846109918886694,9.405051302585072,0.5159643906813893,15.245117337837266,2.7756366638262046e-14
-14.03,9.407800779960656,-0.30838286820091027,9.407800779960656,0.5160952812339967,15.253442635846278,3.511698785132082e-13
-14.04,9.4105497951731,-0.30830479562248053,9.4105497951731,0.5162259729711784,15.26176356772654,2.40565757565168e-14
-14.049999999999999,9.413298349762174,-0.3082268811338253,9.413298349762174,0.5163564660760195,15.270080135669815,1.5256202517897713e-14
-14.059999999999999,9.416046445271402,-0.3081491243564512,9.416046445271402,0.5164867608313987,15.278392344836584,1.547691513710011e-13
-14.069999999999999,9.418794083227727,-0.3080715250689472,9.418794083227727,0.5166168572583139,15.28670019262536,1.359488444095497e-13
-14.079999999999998,9.421541265177085,-0.30799408283021784,9.421541265177085,0.516746755747349,15.295003687409674,5.731634731316431e-14
-14.089999999999998,9.424287992647775,-0.3079167973673716,9.424287992647775,0.5168764564084811,15.303302829244124,1.9324519291426302e-13
-14.099999999999998,9.427034267172957,-0.30783966833775434,9.427034267172957,0.5170059594700263,15.311597621703905,1.1624061908788011e-14
-14.109999999999998,9.42978009027875,-0.3077626954546746,9.42978009027875,0.5171352650676752,15.319888065620855,1.0031644134792477e-14
-14.119999999999997,9.432525463497901,-0.30768587834344635,9.432525463497901,0.5172643734862696,15.328174166266237,2.737110949278706e-13
-14.129999999999997,9.43527038835275,-0.3076092167209727,9.43527038835275,0.5173932848581133,15.336455924386899,9.550499576785473e-15
-14.139999999999997,9.438014866372251,-0.30753271021648143,9.438014866372251,0.5175219994642568,15.344733345159531,2.376794687283927e-13
-14.149999999999997,9.440758899076947,-0.30745635852999287,9.440758899076947,0.5176505174680572,15.353006430270307,3.906400804755737e-14
-14.159999999999997,9.443502487985091,-0.30738016136738716,9.443502487985091,0.5177788390242598,15.361275181155918,9.200693349407644e-14
-14.169999999999996,9.446245634622333,-0.30730411833973215,9.446245634622333,0.5179069644486368,15.369539604053205,6.056632931320405e-15
-14.179999999999996,9.448988340501218,-0.307228229177552,9.448988340501218,0.5180348938570916,15.377799699259569,1.0756810119444394e-13
-14.189999999999996,9.451730607139208,-0.3071524935425304,9.451730607139208,0.5181626274828132,15.3860554705711,6.600440597827715e-14
-14.199999999999996,9.454472436048063,-0.3070769111383969,9.454472436048063,0.518290165489406,15.394306919719883,9.204874178431884e-14
-14.209999999999996,9.457213828746394,-0.30700148158037044,9.457213828746394,0.5184175081911776,15.402554052936344,7.440783877055818e-14
-14.219999999999995,9.459954786740097,-0.3069262045988558,9.459954786740097,0.5185446557093636,15.410796870707083,9.59813328662617e-15
-14.229999999999995,9.462695311539543,-0.30685107986068677,9.462695311539543,0.5186716082738023,15.419035376762718,2.940964865999813e-14
-14.239999999999995,9.4654354046541,-0.30677610702613195,9.4654354046541,0.5187983661267928,15.427269575214687,6.336997426342313e-14
-14.249999999999995,9.468175067581784,-0.30670128585624346,9.468175067581784,0.5189249293414903,15.435499465137053,8.398646393936364e-14
-14.259999999999994,9.47091430183683,-0.3066266159273167,9.47091430183683,0.5190512983048468,15.443725054973426,7.7466701586125e-14
-14.269999999999994,9.473653108915869,-0.30655209698126196,9.473653108915869,0.5191774731249799,15.451946344857244,1.0501929708541807e-13
-14.279999999999994,9.476391490326693,-0.3064777286280991,9.476391490326693,0.5193034541345899,15.460163341633855,1.82337021390535e-14
-14.289999999999994,9.479129447558082,-0.3064035106575281,9.479129447558082,0.5194292413633121,15.468376043107826,2.975527160155081e-14
-14.299999999999994,9.481866982113809,-0.30632944268817547,9.481866982113809,0.5195548351318788,15.476584455784367,3.2623571095629056e-14
-14.309999999999993,9.484604095484608,-0.3062555244566771,9.484604095484608,0.5196802355622793,15.484788580240453,4.908636913421672e-14
-14.319999999999993,9.48734078917786,-0.3061817555124149,9.48734078917786,0.5198054430955211,15.492988426596785,1.279942343203222e-13
-14.329999999999993,9.490077064670603,-0.3061081357004192,9.490077064670603,0.5199304576721754,15.501183990023572,1.7549040996922709e-13
-14.339999999999993,9.492812923464781,-0.3060346645938899,9.492812923464781,0.5200552796955046,15.509375279532156,2.883366875869919e-13
-14.349999999999993,9.495548367042627,-0.30596134195238756,9.495548367042627,0.5201799092535762,15.51756229471677,2.3856075959725363e-13
-14.359999999999992,9.498283396895253,-0.3058881674284999,9.498283396895253,0.5203043466174518,15.525745040653524,4.72267786752847e-13
-14.369999999999992,9.50101801451025,-0.30581514069530646,9.50101801451025,0.5204285920247048,15.533923521426333,8.684340359918615e-13
-14.379999999999992,9.503752221369812,-0.30574226146525907,9.503752221369812,0.5205526456471894,15.542097739160122,8.915860008917418e-13
-14.389999999999992,9.506486018962939,-0.30566952936590436,9.506486018962939,0.5206765078025737,15.550267700355434,9.113225413330322e-13
-14.399999999999991,9.50921940876124,-0.3055969441865449,9.50921940876124,0.5208001785343204,15.55843340330744,1.1075623236269257e-12
-14.409999999999991,9.51195239225662,-0.3055245054945015,9.51195239225662,0.5209236582653094,15.566594857687782,5.560810006425774e-14
-14.419999999999991,9.514684970916454,-0.3054522130911246,9.514684970916454,0.5210469470208591,15.574752061262638,6.201289443100731e-14
-14.42999999999999,9.51741714622456,-0.30538006659564854,9.51741714622456,0.521170045137986,15.582905021149433,2.418325002415885e-13
-14.43999999999999,9.520148919654883,-0.3053080657123748,9.520148919654883,0.5212929528099409,15.59105374016493,3.5593860983835245e-14
-14.44999999999999,9.522880292681029,-0.3052362101340879,9.522880292681029,0.5214156702508519,15.59919822176029,1.408203685231013e-13
-14.45999999999999,9.525611266776101,-0.30516449954361236,9.525611266776101,0.5215381976931095,15.607338469943414,4.3515219421732556e-15
-14.46999999999999,9.528341843412218,-0.30509293361902823,9.528341843412218,0.5216605353784867,15.61547448901312,2.222784630121524e-13
-14.47999999999999,9.531072024057284,-0.3050215120662011,9.531072024057284,0.521782683502509,15.623606281888545,2.660275999960155e-14
-14.48999999999999,9.533801810178048,-0.30495023458787196,9.533801810178048,0.5219046422672436,15.63173385169321,2.2473758133547365e-13
-14.49999999999999,9.536531203243467,-0.3048791008500305,9.536531203243467,0.5220264119388865,15.63985720348616,6.152942243479934e-14
-14.50999999999999,9.539260204716989,-0.3048081105596345,9.539260204716989,0.5221479927147715,15.647976340266492,2.0262394485216662e-13
-14.519999999999989,9.541988816063588,-0.3047372633938817,9.541988816063588,0.5222693848444225,15.656091266610694,3.04501592984176e-13
-14.529999999999989,9.544717038744368,-0.30466655905456225,9.544717038744368,0.5223905885364745,15.664201985875023,1.8472884272566843e-13
-14.539999999999988,9.547444874222114,-0.3045959972123597,9.547444874222114,0.5225116040541233,15.672308503065752,1.0853702062560439e-13
-14.549999999999988,9.550172323949552,-0.3045255776245921,9.550172323949552,0.5226324315131772,15.68041081876323,2.884735570705206e-13
-14.559999999999988,9.552899389390692,-0.30445529992134274,9.552899389390692,0.5227530712489277,15.688508940160874,3.346967423639226e-13
-14.569999999999988,9.555626072002234,-0.3043851637922562,9.555626072002234,0.5228735234957741,15.696602871426377,3.5653429275602617e-13
-14.579999999999988,9.558352373234742,-0.3043151689740309,9.558352373234742,0.5229937884084807,15.704692614337631,3.331089463361981e-13
-14.589999999999987,9.561078294546073,-0.30424531511694664,9.561078294546073,0.523113866291479,15.712778175188927,3.2012404607523844e-13
-14.599999999999987,9.563803837385587,-0.3041756019422129,9.563803837385587,0.523233757328543,15.720859556649309,4.022732240304917e-13
-14.609999999999987,9.566529003204424,-0.30410602913960605,9.566529003204424,0.5233534617586685,15.72893676306022,5.271809080163987e-13
-14.619999999999987,9.569253793450626,-0.30403659641626934,9.569253793450626,0.5234729797921748,15.737009797907612,6.203434012738203e-13
-14.629999999999987,9.57197820957379,-0.30396730345019873,9.57197820957379,0.5235923116907569,15.745078666235628,8.362179742696249e-13
-14.639999999999986,9.574702253020762,-0.3038981499335433,9.574702253020762,0.5237114576929787,15.753143372400531,9.833408443073953e-13
-14.649999999999986,9.577425925234904,-0.30382913557950475,9.577425925234904,0.5238304180023194,15.761203919708883,1.2352813006317328e-12
