m,f_re,f_im,f_R_hz,tau_s,Q,abs_res,omega_R,omega_I_abs,omegaR_over_abs_omegaI,Q_from_f_tau,damping_ratio,inverse_damping_ratio,Q_consistency_error,Q_consistency_relative_error,fR_relative_to_start,tau_relative_to_start,Q_relative_to_start,spectral_ratio_relative_to_start
-14.0,9.596712867697873,-0.1358383166418747,9.596712867697873,1.1716498483376585,35.32402750911116,9.09587098209757e-15,60.297925287540544,0.8534973152762355,70.64805501822234,35.32402750911117,0.014154671345758476,70.64805501822234,7.105427357601002e-15,2.0114997803600656e-16,1.0,1.0,1.0,1.0
-14.01,9.599245548550966,-0.1356737688098444,9.599245548550966,1.1730708484626924,35.37620290479632,1.042324418205854e-14,60.31383859066448,0.8524634307556943,70.75240580959266,35.37620290479633,0.014133795007496681,70.75240580959266,7.105427357601002e-15,2.008533074259828e-16,1.0002639112879597,1.0012128197917236,1.0014770511565168,1.0014770511565168
-14.02,9.601777804502646,-0.1355092684322603,9.601777804502646,1.1744948883068849,35.42849103824389,4.4647671043835706e-15,60.32974922405409,0.851429844400233,70.85698207648778,35.42849103824389,0.014112935249211332,70.85698207648778,0.0,0.0,1.0005277783001951,1.0024282339755883,1.0029572938449838,1.0029572938449836
-14.03,9.604309636500542,-0.1353448154226764,9.604309636500542,1.1759219782070025,35.48089229168721,1.1866928732135989e-15,60.34565719366352,0.8503965556666939,70.96178458337444,35.48089229168722,0.014092092044628328,70.96178458337444,7.105427357601002e-15,2.0026067267946714e-16,1.0007916011354512,1.0036462513739965,1.0044407388861758,1.0044407388861758
-14.04,9.606841045486188,-0.1351804096587822,9.606841045486188,1.177352128859713,35.53340705852072,5.143400987294601e-15,60.36156250540859,0.8493635637865777,71.06681411704145,35.53340705852072,0.014071265363789614,71.06681411704145,0.0,0.0,1.0010553798918385,1.0048668811165256,1.0059273974168308,1.0059273974168306
-14.05,9.609372032401026,-0.1350160510277583,9.609372032401026,1.1787853509296775,35.58603573150503,1.0127400635423466e-14,60.37746516520457,0.8483308680510204,71.17207146301004,35.58603573150502,0.014050455177769074,71.17207146301004,-7.105427357601002e-15,-1.9966897721373402e-16,1.001319114667457,1.0060901323054348,1.007417280555743,1.0074172805557426
-14.06,9.61190259819066,-0.134851739457263,9.61190259819066,1.1802216547776487,35.638778694570874,7.214100729072864e-15,60.393365178992845,0.8472984680054848,71.27755738914178,35.63877869457088,0.014029661461888667,71.27755738914178,7.105427357601002e-15,1.9937348073836845e-16,1.0015828055608411,1.0073160137835993,1.0089103991717403,1.0089103991717405
-14.07,9.614432743785262,-0.1346874747713767,9.614432743785262,1.1816610517202923,35.69163636078685,7.073479992989651e-15,60.409262552617875,0.8462663625446353,71.38327272157372,35.69163636078685,0.014008884180758166,71.38327272157372,0.0,0.0,1.0018464526689168,1.0085445352097624,1.0104067649585222,1.0104067649585222
-14.079999999999998,9.616962470133844,-0.1345232569420384,9.616962470133844,1.1831035518302224,35.74460910605765,6.3506309749051105e-15,60.42515729204247,0.8452345514921604,71.4892182121153,35.74460910605766,0.013988123314384343,71.4892182121153,7.105427357601002e-15,1.9878318815904585e-16,1.0021100560905736,1.0097757051808733,1.0119063885577038,1.0119063885577035
-14.089999999999998,9.619491778168932,-0.1343590858302093,9.619491778168932,1.1845491662024312,35.79769733743635,1.0778315928076989e-15,60.44104940312587,0.8442030339744522,71.5953946748727,35.79769733743635,0.013967378831294614,71.5953946748727,0.0,0.0,1.0023736159229826,1.0110095331664783,1.0134092814926896,1.0134092814926894
-14.099999999999998,9.62202066882828,-0.1341949613446393,9.62202066882828,1.185997905563338,35.85090145119912,1.2705264429312778e-14,60.456938891760146,0.8431718094181703,71.70180290239826,35.85090145119913,0.01394665070502087,71.70180290239826,7.105427357601002e-15,1.981938269327212e-16,1.00263713226386,1.0122460283215473,1.0149154549817985,1.0149154549817985
-14.109999999999998,9.62454914304328,-0.1340308833580468,9.62454914304328,1.1874497810085507,35.90422185509474,7.720840863447045e-15,60.47282576379742,0.842140877023581,71.80844371018948,35.90422185509474,0.013925938905400646,71.80844371018948,0.0,0.0,1.0029006052102594,1.0134852001161518,1.0164249205681297,1.0164249205681295
-14.119999999999996,9.62707720175238,-0.1338668518030079,9.62707720175238,1.1889048031554534,35.95765894277969,1.2499750519123835e-14,60.48871002513412,0.8411102363670462,71.91531788555939,35.95765894277969,0.013905243408522849,71.91531788555939,0.0,0.0,1.0031640348599689,1.0147270576122007,1.0179376893958394,1.0179376893958394
-14.129999999999995,9.629604845884314,-0.1337028665523502,9.629604845884314,1.1903629832018567,36.011213125763184,9.582871241767493e-15,60.50459168160567,0.8400798866495197,72.02242625152637,36.011213125763184,0.013884564184323172,72.02242625152637,0.0,0.0,1.0034274213097647,1.0159716103669953,1.0194537731144835,1.0194537731144833
-14.139999999999995,9.632132076374916,-0.1335389275384951,9.632132076374916,1.1918243318676935,36.06488480146835,1.1368271767870484e-14,60.52047073909207,0.8390498274463922,72.1297696029367,36.06488480146835,0.013863901208957776,72.1297696029367,0.0,0.0,1.0036907646571631,1.0172188675299696,1.0209731829748492,1.020973182974849
-14.149999999999997,9.634658894152208,-0.133375034647992,9.634658894152208,1.193288860332389,36.11867438152998,9.636742249038158e-15,60.53634720342428,0.8380200580448319,72.23734876305996,36.11867438152998,0.013843254453870133,72.23734876305996,0.0,0.0,1.0039540649988665,1.0184688386427327,1.0224959306300465,1.0224959306300463
-14.159999999999997,9.637185300142454,-0.1332111877647589,9.637185300142454,1.1947565798523707,36.17258228025489,1.7098876366520038e-14,60.55222108042216,0.8369905777154744,72.3451645605098,36.1725822802549,0.01382262389027529,72.3451645605098,7.105427357601002e-15,1.964312998875825e-16,1.004217322431393,1.0197215333126157,1.0240220278088297,1.0240220278088297
-14.169999999999996,9.639711295279874,-0.1330473868369403,9.639711295279874,1.196227501160559,36.22660889647563,8.246349205580614e-15,60.5680923759556,0.8359613861325019,72.45321779295128,36.22660889647564,0.01380200949608185,72.45321779295128,7.105427357601002e-15,1.9613835172665763e-16,1.0044805370520913,1.0209769607001369,1.0255514858018857,1.0255514858018857
-14.179999999999996,9.642236880486085,-0.1328836317345401,9.642236880486085,1.197701635742746,36.28075465211643,5.442641205208294e-15,60.5839610958153,0.8349324824791253,72.56150930423287,36.28075465211643,0.013781411241147724,72.56150930423287,0.0,0.0,1.0047437089569955,1.0222351306083894,1.027084316553612,1.027084316553612
-14.189999999999996,9.644762056688176,-0.1327199223745228,9.644762056688176,1.199178994716222,36.33501995831336,7.950313203316809e-15,60.59982724582631,0.8339038662336173,72.6700399166267,36.33501995831335,0.013760829100235607,72.6700399166267,-7.105427357601002e-15,-1.955531431041721e-16,1.0050068382427106,1.0234960525259504,1.028620531703001,1.0286205317030006
-14.199999999999996,9.647286824808008,-0.1325562586471732,9.647286824808008,1.2006595894918866,36.389405235426565,7.839660476403649e-15,60.61569083178088,0.8328755367066157,72.77881047085314,36.38940523542657,0.01374026304538854,72.77881047085314,7.105427357601002e-15,1.9526088188667562e-16,1.0052699250052968,1.0247597361919922,1.030160143150172,1.030160143150172
-14.209999999999996,9.649811185774984,-0.1323926405026902,9.649811185774984,1.202143430991251,36.44391088936283,4.6271133556207615e-15,60.6315518595186,0.8318474935852124,72.88782177872567,36.44391088936283,0.013719713054888926,72.88782177872567,0.0,0.0,1.0055329693416002,1.0260261909279953,1.031703162386079,1.0317031623860788
-14.219999999999995,9.652335140506084,-0.1322290678161019,9.652335140506084,1.203630530869662,36.49853734857339,2.7103998191910118e-15,60.64741033480104,0.8308197360841849,72.9970746971468,36.4985373485734,0.01369917909928364,72.9970746971468,7.105427357601002e-15,1.9467704389745167e-16,1.0057959713471718,1.0272954266817667,1.0332496015398949,1.0332496015398949
-14.229999999999997,9.65485868992339,-0.1320655405058041,9.65485868992339,1.2051209004433725,36.55328503160546,2.1210781103223385e-15,60.6632662634218,0.829792263690799,73.10657006321094,36.55328503160547,0.01367866115364678,73.10657006321094,7.105427357601002e-15,1.9438546635295184e-16,1.006058931118095,1.028567453111698,1.0347994724604164,1.0347994724604164
-14.239999999999997,9.657381834948538,-0.131902058495735,9.657381834948538,1.206614551030995,36.60815435742728,6.5653524581199634e-15,60.67911965117168,0.8287650759271447,73.21630871485453,36.60815435742727,0.013658159193664927,73.21630871485453,-1.4210854715202004e-14,-3.881882319565455e-16,1.0063218487504064,1.0298422798781943,1.0363527870083586,1.036352787008358
-14.249999999999996,9.659904576491922,-0.1317386216443377,9.659904576491922,1.2081114946046347,36.66314576514743,1.458496737992593e-14,60.69497050377089,0.8277381719037935,73.32629153029487,36.66314576514743,0.013637673188297658,73.32629153029487,0.0,0.0,1.0065847243389712,1.031119917199416,1.0379095576145974,1.0379095576145971
